n_estimators,learning_rate,max_depth,subsample,max_features,auc_roc,time_elapsed,cpu_time_spent
10.0,0.1,0.1,0.1,0.1,0.5,0 days 00:00:09.297512000,0 days 00:00:00.425086000
10.0,0.1,0.1,0.1,0.5,0.5,0 days 00:00:10.224180000,0 days 00:00:00.447232000
10.0,0.1,0.1,0.1,1.0,0.5,0 days 00:00:10.204741000,0 days 00:00:00.419867000
10.0,0.1,0.1,0.5,0.1,0.5,0 days 00:00:10.406008000,0 days 00:00:00.417316000
10.0,0.1,0.1,0.5,0.5,0.5,0 days 00:00:09.697904000,0 days 00:00:00.433964000
10.0,0.1,0.1,0.5,1.0,0.5,0 days 00:00:10.020314000,0 days 00:00:00.442317000
10.0,0.1,0.1,1.0,0.1,0.5,0 days 00:00:11.784412000,0 days 00:00:00.507986000
10.0,0.1,0.1,1.0,0.5,0.5,0 days 00:00:10.782021000,0 days 00:00:00.506516000
10.0,0.1,0.1,1.0,1.0,0.5,0 days 00:00:09.406371000,0 days 00:00:00.427731000
10.0,0.1,1.0,0.1,0.1,0.623826670589977,0 days 00:00:09.424907000,0 days 00:00:00.455168000
10.0,0.1,1.0,0.1,0.5,0.6229763423463639,0 days 00:00:10.431367000,0 days 00:00:00.450505000
10.0,0.1,1.0,0.1,1.0,0.6282061888501793,0 days 00:00:10.736440000,0 days 00:00:00.454406000
10.0,0.1,1.0,0.5,0.1,0.6237517780725594,0 days 00:00:10.204682000,0 days 00:00:00.426753000
10.0,0.1,1.0,0.5,0.5,0.6232900268154737,0 days 00:00:10.736701000,0 days 00:00:00.473790000
10.0,0.1,1.0,0.5,1.0,0.6252118395479564,0 days 00:00:12.526126000,0 days 00:00:00.441566000
10.0,0.1,1.0,1.0,0.1,0.6164909478642289,0 days 00:00:13.255024000,0 days 00:00:00.480261000
10.0,0.1,1.0,1.0,0.5,0.6182366374666499,0 days 00:00:12.769131000,0 days 00:00:00.496640000
10.0,0.1,1.0,1.0,1.0,0.6253403660390621,0 days 00:00:12.512752000,0 days 00:00:00.430329000
10.0,0.1,10.0,0.1,0.1,0.6485480178649121,0 days 00:00:23.449712000,0 days 00:00:00.451971000
10.0,0.1,10.0,0.1,0.5,0.6520330998193875,0 days 00:01:15.522968000,0 days 00:00:00.571258000
10.0,0.1,10.0,0.1,1.0,0.6527336302914878,0 days 00:02:27.651306000,0 days 00:00:00.720625000
10.0,0.1,10.0,0.5,0.1,0.671889339034785,0 days 00:00:31.263095000,0 days 00:00:00.462915000
10.0,0.1,10.0,0.5,0.5,0.6771198914039595,0 days 00:01:56.504630000,0 days 00:00:00.731273000
10.0,0.1,10.0,0.5,1.0,0.6744617430942919,0 days 00:03:48.179089000,0 days 00:00:00.979734000
10.0,0.1,10.0,1.0,0.1,0.6790752335698554,0 days 00:00:37.126595000,0 days 00:00:00.532079000
10.0,0.1,10.0,1.0,0.5,0.6816961471489911,0 days 00:02:19.443161000,0 days 00:00:00.726525000
10.0,0.1,10.0,1.0,1.0,0.6814354058297518,0 days 00:04:49.924147000,0 days 00:00:01.137230000
10.0,0.5,0.1,0.1,0.1,0.5,0 days 00:00:09.916983000,0 days 00:00:00.460004000
10.0,0.5,0.1,0.1,0.5,0.5,0 days 00:00:09.894959000,0 days 00:00:00.418067000
10.0,0.5,0.1,0.1,1.0,0.5,0 days 00:00:09.808218000,0 days 00:00:00.426016000
10.0,0.5,0.1,0.5,0.1,0.5,0 days 00:00:10.205740000,0 days 00:00:00.429580000
10.0,0.5,0.1,0.5,0.5,0.5,0 days 00:00:10.656876000,0 days 00:00:00.483864000
10.0,0.5,0.1,0.5,1.0,0.5,0 days 00:00:10.336039000,0 days 00:00:00.451528000
10.0,0.5,0.1,1.0,0.1,0.5,0 days 00:00:10.520595000,0 days 00:00:00.442062000
10.0,0.5,0.1,1.0,0.5,0.5,0 days 00:00:10.524129000,0 days 00:00:00.441009000
10.0,0.5,0.1,1.0,1.0,0.5,0 days 00:00:09.899520000,0 days 00:00:00.416405000
10.0,0.5,1.0,0.1,0.1,0.630870813994245,0 days 00:00:09.528778000,0 days 00:00:00.443853000
10.0,0.5,1.0,0.1,0.5,0.6489523376460966,0 days 00:00:10.451515000,0 days 00:00:00.474609000
10.0,0.5,1.0,0.1,1.0,0.6561998744733806,0 days 00:00:11.205887000,0 days 00:00:00.427957000
10.0,0.5,1.0,0.5,0.1,0.6387272123931327,0 days 00:00:10.307209000,0 days 00:00:00.421981000
10.0,0.5,1.0,0.5,0.5,0.6554456746937529,0 days 00:00:11.139030000,0 days 00:00:00.462417000
10.0,0.5,1.0,0.5,1.0,0.6571051927694107,0 days 00:00:11.344846000,0 days 00:00:00.462296000
10.0,0.5,1.0,1.0,0.1,0.6464053755499745,0 days 00:00:09.629157000,0 days 00:00:00.454883000
10.0,0.5,1.0,1.0,0.5,0.6564062310402489,0 days 00:00:11.007518000,0 days 00:00:00.427831000
10.0,0.5,1.0,1.0,1.0,0.6529634161263369,0 days 00:00:11.915402000,0 days 00:00:00.434591000
10.0,0.5,10.0,0.1,0.1,0.5969553756235734,0 days 00:00:21.227878000,0 days 00:00:00.439837000
10.0,0.5,10.0,0.1,0.5,0.5919537534919583,0 days 00:01:12.827807000,0 days 00:00:00.578849000
10.0,0.5,10.0,0.1,1.0,0.5887244886168451,0 days 00:02:07.746205000,0 days 00:00:00.738341000
10.0,0.5,10.0,0.5,0.1,0.6456390312605511,0 days 00:00:28.676100000,0 days 00:00:00.461491000
10.0,0.5,10.0,0.5,0.5,0.6429584566314622,0 days 00:01:42.924844000,0 days 00:00:00.640867000
10.0,0.5,10.0,0.5,1.0,0.6430683705532456,0 days 00:03:13.242483000,0 days 00:00:00.864554000
10.0,0.5,10.0,1.0,0.1,0.6625574654975473,0 days 00:00:35.188116000,0 days 00:00:00.476030000
10.0,0.5,10.0,1.0,0.5,0.6604332927736044,0 days 00:02:18.760330000,0 days 00:00:00.747318000
10.0,0.5,10.0,1.0,1.0,0.6595350128640004,0 days 00:04:18.974814000,0 days 00:00:01.029920000
10.0,1.0,0.1,0.1,0.1,0.5,0 days 00:00:10.244595000,0 days 00:00:00.470529000
10.0,1.0,0.1,0.1,0.5,0.5,0 days 00:00:10.013750000,0 days 00:00:00.442132000
10.0,1.0,0.1,0.1,1.0,0.5,0 days 00:00:10.031038000,0 days 00:00:00.454844000
10.0,1.0,0.1,0.5,0.1,0.5,0 days 00:00:10.219750000,0 days 00:00:00.442835000
10.0,1.0,0.1,0.5,0.5,0.5,0 days 00:00:10.010812000,0 days 00:00:00.436988000
10.0,1.0,0.1,0.5,1.0,0.5,0 days 00:00:10.140018000,0 days 00:00:00.455867000
10.0,1.0,0.1,1.0,0.1,0.5,0 days 00:00:10.020197000,0 days 00:00:00.447933000
10.0,1.0,0.1,1.0,0.5,0.5,0 days 00:00:10.217051000,0 days 00:00:00.438661000
10.0,1.0,0.1,1.0,1.0,0.5,0 days 00:00:09.849967000,0 days 00:00:00.470558000
10.0,1.0,1.0,0.1,0.1,0.6328807490234102,0 days 00:00:10.322156000,0 days 00:00:00.441896000
10.0,1.0,1.0,0.1,0.5,0.6508304688676778,0 days 00:00:10.728333000,0 days 00:00:00.448778000
10.0,1.0,1.0,0.1,1.0,0.6586318313179638,0 days 00:00:11.419855000,0 days 00:00:00.440123000
10.0,1.0,1.0,0.5,0.1,0.6404329892717889,0 days 00:00:10.411315000,0 days 00:00:00.436547000
10.0,1.0,1.0,0.5,0.5,0.6561556530657249,0 days 00:00:11.219709000,0 days 00:00:00.442722000
10.0,1.0,1.0,0.5,1.0,0.658483106214508,0 days 00:00:12.331080000,0 days 00:00:00.456988000
10.0,1.0,1.0,1.0,0.1,0.6457485119698446,0 days 00:00:10.123632000,0 days 00:00:00.447950000
10.0,1.0,1.0,1.0,0.5,0.6564647671198184,0 days 00:00:11.631719000,0 days 00:00:00.449475000
10.0,1.0,1.0,1.0,1.0,0.6540327776896071,0 days 00:00:13.647334000,0 days 00:00:00.463312000
10.0,1.0,10.0,0.1,0.1,0.5664960825687141,0 days 00:00:21.251256000,0 days 00:00:00.463932000
10.0,1.0,10.0,0.1,0.5,0.562208143494596,0 days 00:01:08.598829000,0 days 00:00:00.564784000
10.0,1.0,10.0,0.1,1.0,0.5563862048024324,0 days 00:02:11.541924000,0 days 00:00:00.738522000
10.0,1.0,10.0,0.5,0.1,0.6145421985885979,0 days 00:00:27.556717000,0 days 00:00:00.460985000
10.0,1.0,10.0,0.5,0.5,0.6135160903332465,0 days 00:01:39.097643000,0 days 00:00:00.629683000
10.0,1.0,10.0,0.5,1.0,0.6056285949042863,0 days 00:03:01.806269000,0 days 00:00:00.845612000
10.0,1.0,10.0,1.0,0.1,0.6341758951872281,0 days 00:00:31.706048000,0 days 00:00:00.504155000
10.0,1.0,10.0,1.0,0.5,0.6316573706662781,0 days 00:02:01.404727000,0 days 00:00:00.703858000
10.0,1.0,10.0,1.0,1.0,0.6320810681741619,0 days 00:03:52.510796000,0 days 00:00:00.990657000
